LINE,STATION,ALT.,GRAV (mgal),SD,TILTX,TILTY,TEMP,TIDE,DUR,REJ,TIME,DEC.TIME+DATE,TERRAIN,DATE
GRADIANT,100,"24,7068","4509,362","0,009","-5,3","1,3","-0,58","-0,068",60,0,07:24:57,"45508,3085",0,05/09/24
GRADIANT,100,"24,7068","4509,362","0,006","-5,3","1,2","-0,58","-0,068",60,0,07:26:02,"45508,30925",0,05/09/24
GRADIANT,101,"25,1951","4509,171","0,008","-5,9","-1,3","-0,6","-0,065",60,0,07:37:31,"45508,31721",0,05/09/24
GRADIANT,101,"24,951","4509,17","0,006","-3,9","-1,2","-0,6","-0,065",60,10,07:38:36,"45508,31796",0,05/09/24
GRADIANT,102,"25,1951","4508,992","0,008","-2,6","-2,9","-0,6","-0,063",60,0,07:45:52,"45508,323",0,05/09/24
GRADIANT,102,"25,1951","4508,992","0,006",0,"-3,4","-0,6","-0,063",60,32,07:46:57,"45508,32375",0,05/09/24
GRADIANT,101,"25,1951","4509,175","0,006","-0,7",-2,"-0,59","-0,058",60,0,08:03:59,"45508,33556",0,05/09/24
GRADIANT,101,"25,1951","4509,175","0,006","-0,7",-2,"-0,59","-0,058",60,0,08:05:04,"45508,33631",0,05/09/24
GRADIANT,100,"25,4393","4509,366","0,006","-3,6","-1,9","-0,58","-0,053",60,0,08:19:12,"45508,34611",0,05/09/24
GRADIANT,100,"25,4393","4509,366","0,007","-3,5","-1,7","-0,59","-0,053",60,6,08:20:17,"45508,34686",0,05/09/24
GRADIANT,101,"25,4393","4509,174","0,017","-3,6","-1,2","-0,6","-0,049",60,42,08:31:31,"45508,35465",0,05/09/24
GRADIANT,101,"25,4393","4509,174","0,01","-3,5","-1,1","-0,6","-0,049",60,13,08:32:36,"45508,3554",0,05/09/24
GRADIANT,102,"25,4393","4508,992","0,006","-0,5","1,2","-0,6","-0,046",60,0,08:40:04,"45508,36058",0,05/09/24
GRADIANT,102,"25,6834","4508,992","0,006","-0,4","1,3","-0,6","-0,046",60,0,08:41:09,"45508,36133",0,05/09/24
GRADIANT,101,"25,6834","4509,175","0,008","-1,3",2,"-0,59","-0,039",60,0,08:56:47,"45508,37217",0,05/09/24
GRADIANT,101,"25,6834","4509,176","0,006","-1,3",2,"-0,59","-0,039",60,0,08:57:52,"45508,37292",0,05/09/24
GRADIANT,100,"25,6834","4509,368","0,005","-3,2","0,4","-0,6","-0,036",60,0,09:05:26,"45508,37817",0,05/09/24
GRADIANT,100,"25,6834","4509,368","0,008","-3,5","0,6","-0,6","-0,035",60,0,09:06:31,"45508,37892",0,05/09/24
GRADIANT,101,"25,6834","4509,174","0,006","-4,1","1,7","-0,6","-0,032",60,0,09:14:48,"45508,38466",0,05/09/24
GRADIANT,101,"25,6834","4509,175","0,007","-4,3","1,5","-0,6","-0,032",60,2,09:15:53,"45508,38541",0,05/09/24
GRADIANT,102,"25,9275","4508,998","0,017","-2,5",2,"-0,6","-0,029",60,0,09:23:17,"45508,39054",0,05/09/24
GRADIANT,102,"25,9275","4508,998","0,02","-2,7","1,6","-0,6","-0,028",60,3,09:24:22,"45508,39129",0,05/09/24
GRADIANT,101,"26,1717","4509,176","0,03","-4,1","-2,4","-0,61","-0,023",60,22,09:36:52,"45508,39996",0,05/09/24
GRADIANT,101,"26,1717","4509,176","0,023","-4,6","-3,1","-0,61","-0,023",60,8,09:37:57,"45508,40071",0,05/09/24
GRADIANT,100,"26,1717","4509,374","0,007","-2,7","4,2","-0,61","-0,02",60,22,09:45:27,"45508,40591",0,05/09/24
GRADIANT,100,"26,1717","4509,373","0,011","-1,4","4,9","-0,61","-0,019",60,24,09:46:32,"45508,40666",0,05/09/24
